"Digit",,"Allocated to"
"576","#N/A","Vanuatu (Republic of)"
"577","#N/A","Vanuatu (Republic of)"
"578","#N/A","France - Wallis and Futuna Islands"
"601","#N/A","South Africa (Republic of)"
"603","#N/A","Angola (Republic of)"
"605","#N/A","Algeria (People's Democratic Republic of)"
"607","#N/A","France - Saint Paul and Amsterdam Islands"
"608","#N/A","United Kingdom of Great Britain and Northern Ireland - Ascension Island"
"609","#N/A","Burundi (Republic of)"
"610","#N/A","Benin (Republic of)"
"611","#N/A","Botswana (Republic of)"
"612","#N/A","Central African Republic"
"613","#N/A","Cameroon (Republic of)"
"615","#N/A","Congo (Republic of the)"
"616","#N/A","Comoros (Union of the)"
"617","#N/A","Cabo Verde (Republic of)"
"618","#N/A","France - Crozet Archipelago"
"619","#N/A","Côte d'Ivoire (Republic of)"
"620","#N/A","Comoros (Union of the)"
"621","#N/A","Djibouti (Republic of)"
"622","#N/A","Egypt (Arab Republic of)"
"624","#N/A","Ethiopia (Federal Democratic Republic of)"
"625","#N/A","Eritrea"
"626","#N/A","Gabonese Republic"
"627","#N/A","Ghana"
"629","#N/A","Gambia (Republic of the)"
"630","#N/A","Guinea-Bissau (Republic of)"
"631","#N/A","Equatorial Guinea (Republic of)"
"632","#N/A","Guinea (Republic of)"
"633","#N/A","Burkina Faso"
"634","#N/A","Kenya (Republic of)"
"635","#N/A","France - Kerguelen Islands"
"636","#N/A","Liberia (Republic of)"
"637","#N/A","Liberia (Republic of)"
"638","#N/A","South Sudan (Republic of)"
"642","#N/A","Libya (State of)"
"644","#N/A","Lesotho (Kingdom of)"
"645","#N/A","Mauritius (Republic of)"
"647","#N/A","Madagascar (Republic of)"
"649","#N/A","Mali (Republic of)"
"650","#N/A","Mozambique (Republic of)"
"654","#N/A","Mauritania (Islamic Republic of)"
"655","#N/A","Malawi"
"656","#N/A","Niger (Republic of the)"
"657","#N/A","Nigeria (Federal Republic of)"
"659","#N/A","Namibia (Republic of)"
"660","#N/A","France - Reunion (French Department of)"
"661","#N/A","Rwanda (Republic of)"
"662","#N/A","Sudan (Republic of the)"
"663","#N/A","Senegal (Republic of)"
"664","#N/A","Seychelles (Republic of)"
"665","GBR-STH","United Kingdom of Great Britain and Northern Ireland - Saint Helena"
"666","#N/A","Somalia (Federal Republic of)"
"667","#N/A","Sierra Leone"
"668","#N/A","Sao Tome and Principe (Democratic Republic of)"
"669","#N/A","Eswatini (Kingdom of)"
"670","#N/A","Chad (Republic of)"
"671","#N/A","Togolese Republic"
"672","#N/A","Tunisia"
"674","#N/A","Tanzania (United Republic of)"
"675","#N/A","Uganda (Republic of)"
"676","#N/A","Democratic Republic of the Congo"
"677","#N/A","Tanzania (United Republic of)"
"678","#N/A","Zambia (Republic of)"
"679","#N/A","Zimbabwe (Republic of)"
"701","#N/A","Argentine Republic"
"710","#N/A","Brazil (Federative Republic of)"
"720","#N/A","Bolivia (Plurinational State of)"
"725","#N/A","Chile"
"730","#N/A","Colombia (Republic of)"
"735","#N/A","Ecuador"
"740","GBR-FKL","United Kingdom of Great Britain and Northern Ireland - Falkland Islands (Malvinas)"
"745","#N/A","France - Guiana (French Department of)"
"750","#N/A","Guyana"
"755","#N/A","Paraguay (Republic of)"
"760","#N/A","Peru"
"765","#N/A","Suriname (Republic of)"
"770","#N/A","Uruguay (Eastern Republic of)"
"775","#N/A","Venezuela (Bolivarian Republic of)"
